Symbol,Side,Qty,Fill Price,Time,Net Amount,Commission
Mar20 '26,Sell,1,6920.5,2026/2/21 0:55,34602.5,0.62
Mar20 '26,Buy,1,6919,2026/2/21 0:50,34595,0.62
Mar20 '26,Sell,1,6911.25,2026/2/21 0:39,34556.25,0.62
Mar20 '26,Buy,1,6903.5,2026/2/21 0:37,34517.5,0.62
Mar20 '26,Sell,1,6900.75,2026/2/21 0:32,34503.75,0.62
Mar20 '26,Sell,1,6897.25,2026/2/21 0:32,34486.25,0.62
Mar20 '26,Buy,1,6891.5,2026/2/21 0:29,34457.5,0.62
Mar20 '26,Buy,1,6897.25,2026/2/21 0:29,34486.25,0.62
Mar20 '26,Buy,1,6901,2026/2/21 0:24,34505,0.62
Mar20 '26,Sell,1,6904.25,2026/2/21 0:24,34521.25,0.62
Mar20 '26,Buy,1,6900.75,2026/2/21 0:22,34503.75,0.62
Mar20 '26,Sell,1,6900.5,2026/2/21 0:22,34502.5,0.62
Mar20 '26,Buy,1,6906.25,2026/2/21 0:15,34531.25,0.62
Mar20 '26,Sell,1,6913,2026/2/21 0:10,34565,0.62
Mar20 '26,Sell,1,6913.5,2026/2/21 0:09,34567.5,0.62
Mar20 '26,Buy,1,6917,2026/2/21 0:09,34585,0.62
Mar20 '26,Sell,1,6916,2026/2/21 0:06,34580,0.62
Mar20 '26,Sell,1,6921.75,2026/2/21 0:03,34608.75,0.62
Mar20 '26,Buy,2,6920.75,2026/2/20 23:59,69207.5,1.24
Mar20 '26,Sell,2,6913.75,2026/2/20 23:52,69137.5,1.24
Mar20 '26,Buy,1,6911.25,2026/2/20 23:51,34556.25,0.62
Mar20 '26,Buy,1,6913.25,2026/2/20 23:48,34566.25,0.62
Mar20 '26,Buy,1,6891.25,2026/2/20 15:54,34456.25,0.62
Mar20 '26,Sell,1,6895.5,2026/2/20 15:42,34477.5,0.62
Mar20 '26,Buy,1,6864.25,2026/2/20 1:02,34321.25,0.62
Mar20 '26,Sell,1,6863.75,2026/2/20 1:01,34318.75,0.62
Mar20 '26,Buy,1,6874,2026/2/20 0:43,34370,0.62
Mar20 '26,Sell,1,6881,2026/2/20 0:39,34405,0.62
Mar20 '26,Buy,1,6881.75,2026/2/20 0:34,34408.75,0.62
Mar20 '26,Sell,1,6882.5,2026/2/20 0:32,34412.5,0.62
Mar20 '26,Sell,1,6877.5,2026/2/20 0:09,34387.5,0.62
Mar20 '26,Buy,1,6875.25,2026/2/20 0:08,34376.25,0.62
Mar20 '26,Sell,1,6882,2026/2/20 0:03,34410,0.62
Mar20 '26,Sell,1,6887.5,2026/2/19 23:58,34437.5,0.62
Mar20 '26,Sell,4,6882.5,2026/2/19 23:56,137650,2.48
Mar20 '26,Buy,1,6879.25,2026/2/19 23:51,34396.25,0.62
Mar20 '26,Buy,1,6879.25,2026/2/19 23:51,34396.25,0.62
Mar20 '26,Buy,1,6879.75,2026/2/19 23:51,34398.75,0.62
Mar20 '26,Buy,1,6879.75,2026/2/19 23:51,34398.75,0.62
Mar20 '26,Buy,1,6879.5,2026/2/19 23:51,34397.5,0.62
Mar20 '26,Buy,1,6879.5,2026/2/19 23:51,34397.5,0.62
Mar20 '26,Sell,1,6883.25,2026/2/19 23:50,34416.25,0.62
Mar20 '26,Buy,1,6887.5,2026/2/19 23:50,34437.5,0.62
Mar20 '26,Sell,1,6884.5,2026/2/19 23:49,34422.5,0.62
Mar20 '26,Buy,1,6887.25,2026/2/19 23:47,34436.25,0.62
Mar20 '26,Sell,1,6885.25,2026/2/19 23:45,34426.25,0.62
Mar20 '26,Buy,1,6889,2026/2/19 23:38,34445,0.62
Mar20 '26,Sell,1,6888,2026/2/19 23:33,34440,0.62
Mar20 '26,Sell,1,6880.5,2026/2/19 23:31,34402.5,0.62
Mar20 '26,Sell,2,6878.25,2026/2/19 23:31,68782.5,1.24
Mar20 '26,Buy,2,6872.75,2026/2/19 23:28,68727.5,1.24
Mar20 '26,Sell,2,6884.75,2026/2/19 23:24,68847.5,1.24
Mar20 '26,Buy,2,6882.25,2026/2/19 23:22,68822.5,1.24
Mar20 '26,Buy,1,6881.25,2026/2/19 23:21,34406.25,0.62
Mar20 '26,Buy,1,6877.75,2026/2/19 23:19,34388.75,0.62
Mar20 '26,Sell,1,6879.25,2026/2/19 23:18,34396.25,0.62
Mar20 '26,Buy,1,6881.5,2026/2/19 23:16,34407.5,0.62
Mar20 '26,Sell,2,6879.75,2026/2/19 23:11,68797.5,1.24
Mar20 '26,Buy,1,6877.25,2026/2/19 23:10,34386.25,0.62
Mar20 '26,Buy,1,6888.25,2026/2/19 23:04,34441.25,0.62
Mar20 '26,Sell,1,6880.75,2026/2/19 23:01,34403.75,0.62
Mar20 '26,Buy,1,6881,2026/2/19 22:59,34405,0.62
Mar20 '26,Sell,1,6880.5,2026/2/19 22:54,34402.5,0.62
Mar20 '26,Buy,1,6882.75,2026/2/19 22:54,34413.75,0.62
Mar20 '26,Sell,1,6880.5,2026/2/19 22:52,34402.5,0.62
Mar20 '26,Sell,1,6880,2026/2/19 22:52,34400,0.62
Mar20 '26,Buy,1,6876.25,2026/2/19 22:52,34381.25,0.62
